labels,words
Art,"Zwischencode, Maschinencode, Zielcode, Html-code, Bytecode, Code, Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Anweisung, Befehl, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Hilfetext, Programmtext, N{\text, Text, Rechnerumgebung, Hardwareumgebung, Programmierumgebung, Umgebung, Programm-quellcode, Quellcode, Cross-plattform, Zielplattform, Plattform, Entwicklungsmethode, Iterationsmethode, Methode, Compilezeit-phase, Projektphase, Phase, Workflow-management, Veränderungsmanagement, Management, Server-bereich, Desktop-bereich, Bereich, Foreach-schleife, Schleife, Teamarbeit, Programmierarbeit, Arbeit, Newton-verfahren, Iterationsverfahren, Verfahren, Computer, Fehler, Oberflächenform, Form, Rechenschritt, Schritt, Plattformunabhängigkeit, Unabhängigkeit, Unix-anwendung, Anwendung, Programmausführung, Ausführung, Portabilität, Neuentwicklung, Entwicklung, Paket, Datei, Auszeichnungssprache, Sprache, Version, Programmstelle, Stelle, Implementierung, Ziel, Quelltextformatierung, Formatierung, Programmierdokumentation, Dokumentation, Programmstruktur, Datumenstruktur, Aufgabenstellung, Stellung, Kompilieren, Konfigurieren, Untervariante, Variante, Quelltextdaten, Eingabedaten, Vorschrift, Speicheradresse, Adresse, Schutzfähigkeit, Lauffähigkeit, Prozessortyp, Cpu-typ, Assemblersprache, Fehlerart"
Kategorie,"Code, Anweisung, Betriebssystemfunktion, Programmfunktion, Fehlfunktion, Sinusfunktion, Funktion, Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Hilfetext, Programmtext, N{\text, Text, Rechnerumgebung, Hardwareumgebung, Programmierumgebung, Umgebung, Quellcode, Cross-plattform, Zielplattform, Plattform, Entwicklungsmethode, Iterationsmethode, Methode, Compilezeit, Einarbeitungszeit, Zeit, Compilezeit-phase, Projektphase, Phase, Management, Server-bereich, Desktop-bereich, Bereich, Schleife, Arbeit, Newton-verfahren, Iterationsverfahren, Verfahren, Oberflächenform, Form, Schritt, Plattformunabhängigkeit, Unabhängigkeit, Anwendung, Programmausführung, Ausführung, Neuentwicklung, Entwicklung, Datei, Auszeichnungssprache, Sprache, Stelle, Funktionsblock, Anweisungsblock, Formatierung, Dokumentation, Programmierstil, Einrückungsstil, Übersetzungsvorgang, Vorgang, Programmstruktur, Datumenstruktur, Aufgabenstellung, Stellung, Kompilieren, Konfigurieren, Untervariante, Variante, Quelltextdaten, Eingabedaten, Adresse, Ausführungszeitraum, Zeitraum, Software-lebenszyklus, Produktlebenszyklus, Programm-inhalt, Inhalt, Schutzfähigkeit, Lauffähigkeit, Prozessortyp, Cpu-typ, Assemblersprache, Fehlerart, Art"
Zusammenfassung,"Zwischencode, Maschinencode, Zielcode, Html-code, Bytecode, Code, Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Anweisung, Betriebssystemfunktion, Programmfunktion, Fehlfunktion, Sinusfunktion, Funktion, Befehl, Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Hilfetext, Programmtext, N{\text, Text, Rechnerumgebung, Hardwareumgebung, Programmierumgebung, Umgebung, Programm-quellcode, Quellcode, Cross-plattform, Zielplattform, Plattform, Entwicklungsmethode, Iterationsmethode, Methode, Compilezeit-phase, Projektphase, Phase, Server-bereich, Desktop-bereich, Bereich, Teamarbeit, Programmierarbeit, Arbeit, Newton-verfahren, Iterationsverfahren, Verfahren, Microcomputer, Computer, Oberflächenform, Form, Rechenschritt, Schritt, Unabhängigkeit, Programmausführung, Ausführung, Entwicklung, Paket, Datei, Auszeichnungssprache, Sprache, Stelle, Funktionsblock, Anweisungsblock, Programmstruktur, Datumenstruktur, Aufgabenstellung, Stellung, Variante, Quelltextdaten, Eingabedaten, Vorschrift, Adresse, Prozessortyp, Cpu-typ, Assemblersprache, Fehlerart, Art, Speicherverbrauch, Ressourcenverbrauch"
Menge,"Zwischencode, Maschinencode, Zielcode, Html-code, Bytecode, Code, Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Anweisung, Betriebssystemfunktion, Programmfunktion, Fehlfunktion, Sinusfunktion, Funktion, Befehl, Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Text, Rechnerumgebung, Hardwareumgebung, Programmierumgebung, Umgebung, Quellcode, Cross-plattform, Zielplattform, Plattform, Entwicklungsmethode, Iterationsmethode, Methode, Compilezeit-phase, Projektphase, Phase, Server-bereich, Desktop-bereich, Bereich, Schleife, Arbeit, Newton-verfahren, Iterationsverfahren, Verfahren, Computer, Oberflächenform, Form, Rechenschritt, Schritt, Unabhängigkeit, Anwendung, Programmausführung, Ausführung, Entwicklung, Paket, Programmdatei, Datei, Auszeichnungssprache, Sprache, Ziel, Funktionsblock, Anweisungsblock, Formatierung, Programmierstil, Einrückungsstil, Programmstruktur, Datumenstruktur, Aufgabenstellung, Stellung, Software-dokument, Entwurfsdokument, Untervariante, Variante, Quelltextdaten, Eingabedaten, Vorschrift, Adresse, Prozessortyp, Cpu-typ, Fehlerart, Art"
Ordnung,"Zwischencode, Maschinencode, Zielcode, Html-code, Bytecode, Code, Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Anweisung, Maschinenbefehl, Aufrufbefehl, Prozessorbefehl, Vergleichsbefehl, Befehl, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Hilfetext, Programmtext, N{\text, Text, Rechnerumgebung, Hardwareumgebung, Programmierumgebung, Umgebung, Quellcode, Cross-plattform, Zielplattform, Plattform, Entwicklungsmethode, Iterationsmethode, Methode, Compilezeit-phase, Projektphase, Phase, Management, Server-bereich, Desktop-bereich, Bereich, Schleife, Arbeit, Newton-verfahren, Iterationsverfahren, Verfahren, Computer, Oberflächenform, Form, Rechenschritt, Schritt, Plattformunabhängigkeit, Unabhängigkeit, Anwendung, Programmausführung, Ausführung, Neuentwicklung, Entwicklung, Programmpaket, Paket, Auszeichnungssprache, Sprache, Stelle, Formatierung, Dokumentation, Programmstruktur, Datumenstruktur, Aufgabenstellung, Stellung, Editor, Kompilieren, Konfigurieren, Untervariante, Variante, Verarbeitungsvorschrift, Vorschrift, Adresse, Sicht, Richtlinie, Schutzfähigkeit, Lauffähigkeit, Assemblersprache, Fehlerart, Art"
Gruppe,"Code, Anweisung, Betriebssystemfunktion, Programmfunktion, Fehlfunktion, Sinusfunktion, Funktion, Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Hilfetext, Programmtext, N{\text, Text, Rechnerumgebung, Hardwareumgebung, Programmierumgebung, Umgebung, Quellcode, Cross-plattform, Zielplattform, Plattform, Entwicklungsmethode, Iterationsmethode, Methode, Phase, Management, Server-bereich, Desktop-bereich, Bereich, Foreach-schleife, Schleife, Arbeit, Newton-verfahren, Iterationsverfahren, Verfahren, Oberflächenform, Form, Schritt, Plattformunabhängigkeit, Unabhängigkeit, Unix-anwendung, Anwendung, Programmausführung, Ausführung, Neuentwicklung, Entwicklung, Datei, Auszeichnungssprache, Sprache, Version, Stelle, Funktionsblock, Anweisungsblock, Quelltextformatierung, Formatierung, Dokumentation, Programmierstil, Einrückungsstil, Programmstruktur, Datumenstruktur, Aufgabenstellung, Stellung, Kompilieren, Konfigurieren, Untervariante, Variante, Quelltextdaten, Eingabedaten, Speicheradresse, Adresse, Schutzfähigkeit, Lauffähigkeit, Prozessortyp, Cpu-typ, Assemblersprache, Fehlerart, Art"
Zustand,"Code, Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Anweisung, Funktion, Befehl, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Text, Umgebung, Cross-plattform, Zielplattform, Plattform, Entwicklungsmethode, Iterationsmethode, Methode, Phase, Workflow-management, Veränderungsmanagement, Management, Server-bereich, Desktop-bereich, Bereich, Schleife, Teamarbeit, Programmierarbeit, Arbeit, Newton-verfahren, Iterationsverfahren, Verfahren, Fehler, Oberflächenform, Form, Schritt, Plattformunabhängigkeit, Unabhängigkeit, Anwendung, Programmausführung, Ausführung, Quellcode-portabilität, Portabilität, Neuentwicklung, Entwicklung, Paket, Auszeichnungssprache, Sprache, Programmstelle, Stelle, Problem, Methodenimplementierung, Implementierung, Bauziel, Ziel, Formatierung, Programmstruktur, Datumenstruktur, Aufgabenstellung, Stellung, Untervariante, Variante, Vorschrift, Operation, Adresse, Schutzfähigkeit, Lauffähigkeit, Fehlerart, Art"
Teil,"Unterprogramm, Maschinenprogramm, Hauptprogramm, Stapelprogramm, Dialogprogramm, Systemprogramm, Dienstprogramm, Binärprogramm, Anwenderprogramm, Programm, Quelloffene-software, Open-source-software, Individualsoftware, Anwendungssoftware, Software, Quelltext, Jit-compiler, Precompiler, Java-compiler, Compiler, System, Hilfetext, Programmtext, N{\text, Text, Programm-quellcode, Quellcode, Texteditor, Methode, Compilezeit, Einarbeitungszeit, Zeit, Phase, Workflow-management, Veränderungsmanagement, Management, Bereich, Teamarbeit, Programmierarbeit, Arbeit, Newton-verfahren, Iterationsverfahren, Verfahren, Syntaxfehler, Fehler, Form, Programmteil, Ausführung, Neuentwicklung, Entwicklung, Sprache, Version, Befehlsfolge, Folge, Berechnung, Programmstelle, Stelle, Funktionsblock, Anweisungsblock, Debugger, Vorgang, Stellung, Rechenoperation, Operation, Speicheradresse, Adresse, Ausführungszeitraum, Zeitraum, Software-lebenszyklus, Produktlebenszyklus, Fehlerart, Art, Speicherverbrauch, Ressourcenverbrauch"
Struktur,"Zwischencode, Maschinencode, Zielcode, Html-code, Bytecode, Code, Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Anweisung, Maschinenbefehl, Aufrufbefehl, Prozessorbefehl, Vergleichsbefehl, Befehl, Rechner, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Hilfetext, Programmtext, N{\text, Text, Rechnerumgebung, Hardwareumgebung, Programmierumgebung, Umgebung, Programm-quellcode, Quellcode, Plattform, Methode, Compilezeit-phase, Projektphase, Phase, Server-bereich, Desktop-bereich, Bereich, Teamarbeit, Programmierarbeit, Arbeit, Verfahren, Microcomputer, Computer, Form, Rechenschritt, Schritt, Ausführung, Entwicklung, Programmpaket, Paket, Auszeichnungssprache, Sprache, Stelle, Programmstruktur, Datumenstruktur, Stellung, Editor, Verarbeitungsvorschrift, Vorschrift, Adresse, Sicht, Richtlinie, Assemblersprache, Fehlerart, Art, Speicherverbrauch, Ressourcenverbrauch"
Ergebnis,"Unterprogramm, Maschinenprogramm, Hauptprogramm, Stapelprogramm, Dialogprogramm, Systemprogramm, Dienstprogramm, Binärprogramm, Anwenderprogramm, Programm, Quelloffene-software, Open-source-software, Individualsoftware, Anwendungssoftware, Software, Betriebssystemfunktion, Programmfunktion, Fehlfunktion, Sinusfunktion, Funktion, Quelltext, Jit-compiler, Precompiler, Java-compiler, Compiler, System, Hilfetext, Programmtext, N{\text, Text, Programm-quellcode, Quellcode, Texteditor, Zeit, Phase, Anforderungsanalyse, Performanzanalyse, Analyse, Bereich, Foreach-schleife, Schleife, Teamarbeit, Programmierarbeit, Arbeit, Syntaxfehler, Fehler, Neuentwicklung, Entwicklung, Version, Befehlsfolge, Folge, Programmstelle, Stelle, Anwendungsproblem, Problem, Ziel, Programmierdokumentation, Dokumentation, Debugger, Schutz, Vorgang, Rechenoperation, Operation, Software-lebenszyklus, Produktlebenszyklus, Speicherverbrauch, Ressourcenverbrauch"
