labels,words,scores
Geschwindigkeit,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Klassenfahrt",0.992606536547343
Fahrt,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Klassenfahrt",0.9896789431571961
Software,"Schulprogramm, Fahrtenprogramm, Programm, Außendienst, Dienst, Dienstreise",0.9118378619352977
Ausrichtung,"Fahrtzweck, Erziehungszweck, Zweck, Ziel, Richtung",0.9046076714992524
Wissenschaft,"Wagenklasse, Beförderungsklasse, Klasse, Schulbusschild, Schild, Art, Familie, Land, Jahrhundert, Geschichte",0.8970921874046326
Schrift,"Zweck, Ort, Weltreiseführer, Reiseführer, Gefährdungsbeurteilung, Beurteilung, Information, Richter, Stelle",0.8927132570081286
Blatt,"Schulprogramm, Fahrtenprogramm, Programm, Außendienst, Dienst, Schulbusschild, Schild, Dienstreise",0.8852157752428736
Text,"Fahrtzweck, Erziehungszweck, Zweck, Arbeitsort, Ort, Weltreiseführer, Reiseführer, Arbeit, Aufenthalt, Betrieb, Gefährdungsbeurteilung, Beurteilung, Arbeitsstätte, Information, Richter, Stelle",0.8778981762627761
Gestalt,"Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Schild, Bedeutung, Eisenbahn, Unternehmen, Abenteuer, Bahn",0.877321717413989
Endzustand,"Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Schild, Bedeutung, Eisenbahn, Unternehmen, Abenteuer, Bahn",0.877321717413989
Anforderungen,"Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Schild, Bedeutung, Eisenbahn, Unternehmen, Abenteuer, Bahn",0.877321717413989
Programm,"Schulprogramm, Fahrtenprogramm, Außendienst, Dienst, Dienstreise",0.8758886843919754
Regelmäßigkeit,"Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Schild, Dienstgang, Unterrichtsgang, Mensch",0.8533626950922466
Erfahrungen,"Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Schild, Dienstgang, Unterrichtsgang, Mensch",0.8533626950922466
Richtlinie,"Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Schild, Dienstgang, Unterrichtsgang, Mensch",0.8533626950922466
Theorie,"Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Schild, Dienstgang, Unterrichtsgang, Mensch",0.8533626950922466
Verzeichnis,"Schulprogramm, Fahrtenprogramm, Programm, Dienst, Weltreiseführer, Reiseführer, Schülersammelliste, Schülerliste, Verb, Information, Richter, Stelle",0.8525231679280599
Buch,"Weltreiseführer, Reiseführer, Beurteilung, Information, Richter, Stelle",0.8423204819361368
