,labels,words
0,Gegenstand,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Schauglas, Einlaufschauglas, Glas, Ablauf, Überfüllsonde, Trockenlaufsonde, Sonde, Schlauchlager, Tanklager, Lager, Hechtfilter, Polizeifilter, Filter, Anlagenstand, Stand, Gleitringdichtung, Dichtung, Einsteckrohr, Tauchrohr, Temperaturanzeige, Anzeige, Lochscheibe, Steckscheibe, Begleitheizung, Begleitbeheizung, Phasenversteller, Phaseneinsteller, System, Schichtende, Ende, Pumpenmotor, Motor, Warmwasserüberlauf, Diazoeinlauf, Saugstutzen, Abgasstutzen, Mannlochdeckel, Deckel, Aufsatzkolonne, Kolonne, Vakuummaschine, Probe, Rest, Zeit, Wasser, Kupplung, Wärmekammer, Grund"
1,Kategorie,"Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Oberphase, Wasserphase, Mulmphase, Xylolphase, Phase, Anlage, Soll-menge, Umpumpmenge, Menge, Messung, Schauglas, Einlaufschauglas, Glas, Spülxylolablauf, Destillatablauf, Ablauf, Sonde, Schlauchlager, Tanklager, Lager, Hechtfilter, Polizeifilter, Filter, Anlagenstand, Stand, Kupplungsreaktor, Kupplungreaktor, Streichdampf, Dampf, Frischansatz, Ansatz, Phasenversteller, Phaseneinsteller, Pulversystem, System, Etiketten-druck, Druck, Sollwert, Wert, Gesamtstatus, Status, Warmwasserüberlauf, Diazoeinlauf, Aufsatzkolonne, Kolonne, Kontrollieren, Anfahren, Betrieb, Probe, Rest, Ordnung, Zeit, Einlauf, Bühne, Inhalt, Wasser, Restmenge, Wärmekammer, Grund, Teilmenge, Rückfluss"
2,Gruppe,"Pumpe, Phase, Anlage, Soll-menge, Umpumpmenge, Menge, Schauglas, Einlaufschauglas, Glas, Sonde, Schlauchlager, Tanklager, Lager, Hechtfilter, Polizeifilter, Filter, Anlagenstand, Stand, Kupplungsreaktor, Kupplungreaktor, Dichtung, Einsteckrohr, Tauchrohr, Anzeige, Streichdampf, Dampf, Frischansatz, Ansatz, Gleitringeinheit, Gleiteinheit, Phasenversteller, Phaseneinsteller, Pulversystem, System, Sollwert, Wert, Gesamtstatus, Status, Warmwasserüberlauf, Diazoeinlauf, Aufsatzkolonne, Kolonne, Kontrollieren, Anfahren, Betrieb, Probe, Rest, Ordnung, Einlauf, Bühne, Wasser, Restmenge, Kupplung, Wärmekammer, Grund, Teilmenge"
3,Sache,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Ventil, Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Menge, Schauglas, Einlaufschauglas, Glas, Sonde, Lager, Hechtfilter, Polizeifilter, Filter, Stand, Gleitringdichtung, Dichtung, Einsteckrohr, Tauchrohr, Temperaturanzeige, Anzeige, Gleitringeinheit, Gleiteinheit, Phasenversteller, Phaseneinsteller, Destillat, Ende, Sollwert, Wert, Motor, Warmwasserüberlauf, Diazoeinlauf, Saugstutzen, Abgasstutzen, Deckel, Kolonne, Probe, Rest, Zeit, Inhalt, Wasser, Kupplung, Grund"
4,Objekt,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Ventil, Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Schauglas, Einlaufschauglas, Glas, Sonde, Lager, Hechtfilter, Polizeifilter, Filter, Stand, Gleitringdichtung, Dichtung, Einsteckrohr, Tauchrohr, Temperaturanzeige, Anzeige, Begleitheizung, Begleitbeheizung, Phasenversteller, Phaseneinsteller, Ende, Pumpenmotor, Motor, Warmwasserüberlauf, Diazoeinlauf, Saugstutzen, Abgasstutzen, Deckel, Kolonne, Kontrollieren, Anfahren, Vakuummaschine, Probe, Rest, Zeit, Wasser, Kupplung, Grund"
5,Menge,"Pumpe, Ventil, Oberphase, Wasserphase, Mulmphase, Xylolphase, Phase, Anlage, Soll-menge, Umpumpmenge, Schauglas, Einlaufschauglas, Glas, Überfüllsonde, Trockenlaufsonde, Sonde, Schlauchlager, Tanklager, Lager, Hechtfilter, Polizeifilter, Filter, Anlagenstand, Stand, Kupplungsreaktor, Kupplungreaktor, Streichdampf, Dampf, Frischansatz, Ansatz, Phasenversteller, Phaseneinsteller, Gehäuse, Pulversystem, System, Sollwert, Wert, Motor, Status, Aufsatzkolonne, Kolonne, Vakuummaschine, Betrieb, Probe, Rest, Ordnung, Einlauf, Bühne, Wasser, Restmenge, Kupplung, Wärmekammer, Grund, Teilmenge"
6,Struktur,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Oberphase, Wasserphase, Mulmphase, Xylolphase, Phase, Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Menge, Überfüllsonde, Trockenlaufsonde, Sonde, Schlauchlager, Tanklager, Lager, Anlagenstand, Stand, Kupplungsreaktor, Kupplungreaktor, Pumpengehäuse, Gehäuse, Pulversystem, System, Pumpenmotor, Motor, Muennich, Münnich, Vakuummaschine, Betrieb, Probe, Bühne, Kupplung, Wärmekammer"
7,Artefakt,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Leitung, Lösemittel-container, Lösemittelcontainer, Mulmcontainer, Mulm-container, Dmf-container, Safener-container, Lömi-container, Container, Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Anlage, Auslagerungsbehälter, Abwassersammelbehälter, Fällbehälter, Behälter, Schauglas, Einlaufschauglas, Glas, Sonde, Lager, Hechtfilter, Polizeifilter, Filter, Anlagenstand, Stand, Temperaturanzeige, Anzeige, Sieb, Mannlochdeckel, Deckel, Flashtopf, Fass"
8,Anzahl,"Phase, Behälter, Soll-menge, Umpumpmenge, Menge, Schauglas, Einlaufschauglas, Glas, Sonde, Schlauchlager, Tanklager, Lager, Hechtfilter, Polizeifilter, Filter, Anlagenstand, Stand, Kupplungsreaktor, Kupplungreaktor, Streichdampf, Dampf, Frischansatz, Ansatz, Lochscheibe, Steckscheibe, Phasenversteller, Phaseneinsteller, Pulversystem, System, Xyloldestillat, Destillat, Schichtende, Ende, Sollwert, Wert, Status, Saugstutzen, Abgasstutzen, Aufsatzkolonne, Kolonne, Probe, Rest, Ordnung, Einlauf, Bühne, Wasser, Restmenge, Wärmekammer, Grund, Teilmenge"
9,Gerät,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Überfüllsonde, Trockenlaufsonde, Sonde, Hechtfilter, Polizeifilter, Filter, Anlagenstand, Stand, Einsteckrohr, Tauchrohr, Temperaturanzeige, Anzeige, Begleitheizung, Begleitbeheizung, Phasenversteller, Phaseneinsteller, Pulversystem, System, Pumpenmotor, Motor, Warmwasserüberlauf, Diazoeinlauf, Mannlochdeckel, Deckel, Vakuummaschine, Flashtopf"
