labels,words
Kategorie,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Leistung, Vorphase, Anfangphase, Hochphase, Musterschule, Schule, Regelarbeitszeit, Arbeitszeit, Austauschjahr, Jahr, Klassenfahrt, Außendienst, Dienst, Reisesicherheit, Sicherheit, Wegzeit, Zeit, Arbeitsort, Ort, Auswärtstätigkeit, Tätigkeit, Erziehungsarbeit, Arbeit, Ausgabe, Strandaufenthalt, Aufenthalt, Science-fiction-roman, Roman, Interesse, Schulverein, Verein, Organisation, Dienstgang, Unterrichtsgang, Verbindung, Hochkulturschema, Trivialschema, Tramper-bewegung, Hippie-bewegung, Reisegrund, Grund, Unterhaltungsbetrieb, Betrieb, Vorschuss, Reiseart, Art, Landschulwoche, Woche, Gastfamilie, Familie, Berg, Dienstreise, Teil, Transportmittel, Wohnung, Bedeutung, Regelung, Tag, Eisenbahn, Schiff, Reiseziel, Jahrhundert, Mensch, Arbeitsstätte, Unternehmen, Monat, Erholung, Verb, Information, Frau, Geschichte, Abenteuer, Soldat, Gesellschaft, August, Welt, Beginn, Erledigung, Bestimmung, Bezug, Durchführung, Bahn, Richtung, Gruppe, Übernachtung, Mitnahme, Stelle, Verbreitung, Verbrechen"
Einheit,"Fahrt, Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Leistung, Musterschule, Schule, Regelarbeitszeit, Arbeitszeit, Austauschjahr, Jahr, Außendienst, Dienst, Sicherheit, Wegzeit, Zeit, Arbeitsort, Ort, Weltreiseführer, Reiseführer, Tätigkeit, Erziehungsarbeit, Arbeit, Strandaufenthalt, Aufenthalt, Science-fiction-roman, Roman, Verein, Organisation, Dienstgang, Unterrichtsgang, Hochkulturschema, Trivialschema, Reisegrund, Grund, Unterhaltungsbetrieb, Betrieb, Vorschuss, Reiseart, Art, Landschulwoche, Woche, Rechtsbegriff, Begriff, Gastfamilie, Familie, Dienstreise, Land, Deutschland, Transportmittel, Wohnung, Bedeutung, Regelung, Tag, Rahmen, Schiff, Reiseziel, Jahrhundert, Mensch, Arbeitsstätte, Unternehmen, Monat, Österreich, Schweiz, Verb, Information, Geschichte, Gesellschaft, August, Richter, Beginn, Erledigung, Bestimmung, Bezug, Richtung, Gruppe, Übernachtung, Verbreitung, Verbrechen"
Zustand,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Staat, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Schulreise, Abi-reise, Matura-reise, Austauschreise, Reise, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Arbeitsleistung, Regelleistung, Leistung, Weltreise, Klassenfahrt, Außendienst, Dienst, Reisesicherheit, Sicherheit, Dienstgeschäft, Haustürgeschäft, Pflicht, Auswärtstätigkeit, Tätigkeit, Erziehungsarbeit, Arbeit, Betriebsausgabe, Ausgabe, Lernen, Science-fiction-roman, Roman, Mediumeninteresse, Interesse, Dienstgang, Unterrichtsgang, Fernflug, Flug, Mitreisen, Auslandreisen, Reisen, Tramper-bewegung, Hippie-bewegung, Grund, Unterhaltungsbetrieb, Betrieb, Arbeitsanweisung, Dienstanweisung, Reiseart, Art, Gastfamilie, Familie, Wandererlass, Fahrtenerlass, Dienstreise, Geschäftsreise, Ziel, Bedeutung, Regelung, Eisenbahn, Mensch, Unternehmen, Verb, Information, Geschichte, Abenteuer, Erledigung, Bestimmung, Durchführung, Bahn, Richtung, Weltumrundung, Stelle, Verbreitung, Verbrechen"
Abschnitt,"Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Form, Vorphase, Anfangphase, Hochphase, Schüler, Regelarbeitszeit, Arbeitszeit, Austauschjahr, Jahr, Wegzeit, Zeit, Arbeitsort, Ort, Reisedauer, Dauer, Reiseführer, Auswärtstätigkeit, Tätigkeit, Arbeit, Ausgabe, Aufenthalt, Schulbusschild, Schild, Science-fiction-roman, Roman, Interesse, Dienstgang, Unterrichtsgang, Hippie-generation, Generation, Betrieb, Lehrkraft, Reiseart, Art, Landschulwoche, Woche, Gastfamilie, Familie, Bürger, Tramp, Land, Deutschland, Anhalter, Teil, Bedeutung, Tag, Zahl, Jahrhundert, Mensch, Arbeitsstätte, Unternehmen, Monat, Österreich, Erholung, Band, Kraftfahrzeug, Verb, Information, Frau, Geschichte, Soldat, August, Welt, Richter, Beginn, Erledigung, Bestimmung, Durchführung, Bahn, Gruppe, Milliarde, Million, Kraftfahrer, Mitnahme, Stelle, Autor"
Gegenstand,"Klasse, Fahrtzweck, Erziehungszweck, Zweck, Leistung, Schulprogramm, Fahrtenprogramm, Programm, Musterschule, Schule, Arbeitszeit, Dienst, Wegzeit, Zeit, Arbeitsort, Ort, Dauer, Weltreiseführer, Reiseführer, Erziehungsarbeit, Arbeit, Betriebsausgabe, Ausgabe, Strandaufenthalt, Aufenthalt, Schulbus, Reiseverkehrsmittel, Verkehrsmittel, Schulbusschild, Schild, Science-fiction-roman, Roman, Verein, Einsatzorganisation, Organisation, Dienstgang, Unterrichtsgang, Reisegrund, Grund, Unterhaltungsbetrieb, Betrieb, Beurteilung, Art, Gastfamilie, Familie, Inselsberg, Berg, Land, Auto, Teil, Transportmittel, Ziel, Wohnung, Autofahrer, Privatwirtschaft, Tag, Eisenbahn, Schiff, Reiseziel, Zahl, Jahrhundert, Mensch, Arbeitsstätte, Monat, Schweiz, Band, Kraftfahrzeug, Verb, Information, Abenteuer, Gesellschaft, August, Thema, Welt, Richter, Erledigung, Dienststelle, Bestandteil, Bestimmung, Bahn, Richtung, Übernachtung, Fahrer, Stelle, Fahrzeug"
Raum,"Fahrt, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Leistung, Schüler, Musterschule, Schule, Dienst, Sicherheit, Arbeitsort, Ort, Reiseführer, Tätigkeit, Erziehungsarbeit, Arbeit, Strandaufenthalt, Aufenthalt, Schild, Science-fiction-roman, Roman, Verein, Einsatzorganisation, Organisation, Dienstgang, Unterrichtsgang, Grund, Unterhaltungsbetrieb, Betrieb, Arbeitsanweisung, Dienstanweisung, Vorschuss, Lehrkraft, Reiseart, Art, Gastfamilie, Familie, Bürger, Tramp, Anhalter, Teil, Transportmittel, Wohnung, Privatwirtschaft, Regelung, Schiff, Reiseziel, Mensch, Arbeitsstätte, Unternehmen, Schweiz, Band, Verb, Information, Frau, Geschichte, Soldat, Gesellschaft, Welt, Richter, Erledigung, Dienststelle, Bestandteil, Bestimmung, Bezug, Bahn, Richtung, Gruppe, Übernachtung, Kraftfahrer, Verbreitung, Verbrechen, Autor"
Art,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Reise, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Leistung, Schüler, Klassenfahrt, Dienst, Reisesicherheit, Sicherheit, Reiseführer, Auswärtstätigkeit, Tätigkeit, Erziehungsarbeit, Arbeit, Ausgabe, Schild, Science-fiction-roman, Roman, Mediumeninteresse, Interesse, Dienstgang, Unterrichtsgang, Flug, Hochkulturschema, Trivialschema, Reisen, Tramper-bewegung, Hippie-bewegung, Unterhaltungsbetrieb, Betrieb, Beurteilung, Lehrkraft, Reiseart, Begriff, Gastfamilie, Familie, Inselsberg, Berg, Bürger, Tramp, Anhalter, Ziel, Bedeutung, Regelung, Eisenbahn, Mensch, Unternehmen, Band, Verb, Information, Frau, Geschichte, Abenteuer, Soldat, Welt, Richter, Erledigung, Bestimmung, Durchführung, Bahn, Richtung, Kraftfahrer, Stelle, Verbreitung, Verbrechen, Autor"
Gesamtheit,"Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Niveaumilieu, Selbstverwirklichungsmilieu, Integrationsmilieu, Milieu, Klasse, Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Mitfahren, Abgefahren, Fahren, Arbeitsleistung, Regelleistung, Leistung, Musterschule, Schule, Sicherheitsregel, Regel, Außendienst, Dienst, Erziehungsarbeit, Arbeit, Beschreibung, Kennenlernen, Lernen, Schulbus, Reiseverkehrsmittel, Verkehrsmittel, Schulbusschild, Schild, Science-fiction-roman, Roman, Verein, Einsatzorganisation, Organisation, Hippie-generation, Generation, Trampertreffen, Treffen, Trampkultur, Kultur, Dienstreise, Land, Deutschland, Auto, Teil, Transportmittel, Ziel, Wohnung, Autofahrer, Europa, Literatur, Eisenbahn, Schiff, Kontinent, Möglichkeit, Jahrhundert, Österreich, Schweiz, Band, Verb, Information, Studie, Geschichte, Soldat, Asien, Welt, Erledigung, Dienststelle, Unterweisung, Durchführung, Bahn, Richtung, Stelle, Verbreitung, Verbrechen"
Gruppe,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Musterschule, Schule, Klassenfahrt, Außendienst, Dienst, Reisesicherheit, Sicherheit, Ort, Dienstgeschäft, Haustürgeschäft, Auswärtstätigkeit, Tätigkeit, Arbeit, Schild, Science-fiction-roman, Roman, Interesse, Schulverein, Verein, Dienstgang, Unterrichtsgang, Straßenverbindung, Verbindung, Hochkulturschema, Trivialschema, Tramper-bewegung, Hippie-bewegung, Reisegrund, Grund, Betrieb, Arbeitsanweisung, Dienstanweisung, Vorschuss, Reiseart, Art, Gastfamilie, Familie, Berg, Dienstreise, Arbeitgeber, Teil, Wohnung, Bedeutung, Privatwirtschaft, Regelung, Eisenbahn, Schiff, Mensch, Unternehmen, Schweiz, Verb, Information, Frau, Geschichte, Abenteuer, Soldat, Gesellschaft, Welt, Bestandteil, Bezug, Durchführung, Bahn, Stelle, Verbreitung, Verbrechen"
Klasse,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Wagenklasse, Beförderungsklasse, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Programm, Musterschule, Schule, Klassenfahrt, Außendienst, Dienst, Reisesicherheit, Sicherheit, Zeit, Ort, Reiseführer, Auswärtstätigkeit, Tätigkeit, Arbeit, Schulbusschild, Schild, Science-fiction-roman, Roman, Interesse, Verein, Dienstgang, Unterrichtsgang, Hochkulturschema, Trivialschema, Tramper-bewegung, Hippie-bewegung, Reisegrund, Grund, Betrieb, Arbeitsanweisung, Dienstanweisung, Vorschuss, Reiseart, Art, Gastfamilie, Familie, Berg, Dienstreise, Teil, Wohnung, Bedeutung, Privatwirtschaft, Regelung, Schiff, Mensch, Unternehmen, Schweiz, Verb, Information, Frau, Geschichte, Soldat, Gesellschaft, Welt, Richter, Bestandteil, Bestimmung, Bezug, Durchführung, Bahn, Gruppe, Stelle, Verbreitung, Verbrechen"
